file,actor,gender,emotion,label,intensity,statement,repetition,of_found
01-01-01-01-01-01-01.mp4,1,male,Neutral,0,1,1,1,True
01-01-01-01-01-02-01.mp4,1,male,Neutral,0,1,1,2,True
01-01-01-01-02-01-01.mp4,1,male,Neutral,0,1,2,1,True
01-01-01-01-02-02-01.mp4,1,male,Neutral,0,1,2,2,True
01-01-02-01-01-01-01.mp4,1,male,Calm,1,1,1,1,True
01-01-02-01-01-02-01.mp4,1,male,Calm,1,1,1,2,True
01-01-02-01-02-01-01.mp4,1,male,Calm,1,1,2,1,True
01-01-02-01-02-02-01.mp4,1,male,Calm,1,1,2,2,True
01-01-02-02-01-01-01.mp4,1,male,Calm,1,2,1,1,True
01-01-02-02-01-02-01.mp4,1,male,Calm,1,2,1,2,True
01-01-02-02-02-01-01.mp4,1,male,Calm,1,2,2,1,True
01-01-02-02-02-02-01.mp4,1,male,Calm,1,2,2,2,True
01-01-03-01-01-01-01.mp4,1,male,Happy,2,1,1,1,True
01-01-03-01-01-02-01.mp4,1,male,Happy,2,1,1,2,True
01-01-03-01-02-01-01.mp4,1,male,Happy,2,1,2,1,True
01-01-03-01-02-02-01.mp4,1,male,Happy,2,1,2,2,True
01-01-03-02-01-01-01.mp4,1,male,Happy,2,2,1,1,True
01-01-03-02-01-02-01.mp4,1,male,Happy,2,2,1,2,True
01-01-03-02-02-01-01.mp4,1,male,Happy,2,2,2,1,True
01-01-03-02-02-02-01.mp4,1,male,Happy,2,2,2,2,True
01-01-04-01-01-01-01.mp4,1,male,Sad,3,1,1,1,True
01-01-04-01-01-02-01.mp4,1,male,Sad,3,1,1,2,True
01-01-04-01-02-01-01.mp4,1,male,Sad,3,1,2,1,True
01-01-04-01-02-02-01.mp4,1,male,Sad,3,1,2,2,True
01-01-04-02-01-01-01.mp4,1,male,Sad,3,2,1,1,True
01-01-04-02-01-02-01.mp4,1,male,Sad,3,2,1,2,True
01-01-04-02-02-01-01.mp4,1,male,Sad,3,2,2,1,True
01-01-04-02-02-02-01.mp4,1,male,Sad,3,2,2,2,True
01-01-05-01-01-01-01.mp4,1,male,Angry,4,1,1,1,True
01-01-05-01-01-02-01.mp4,1,male,Angry,4,1,1,2,True
01-01-05-01-02-01-01.mp4,1,male,Angry,4,1,2,1,True
01-01-05-01-02-02-01.mp4,1,male,Angry,4,1,2,2,True
01-01-05-02-01-01-01.mp4,1,male,Angry,4,2,1,1,True
01-01-05-02-01-02-01.mp4,1,male,Angry,4,2,1,2,True
01-01-05-02-02-01-01.mp4,1,male,Angry,4,2,2,1,True
01-01-05-02-02-02-01.mp4,1,male,Angry,4,2,2,2,True
01-01-06-01-01-01-01.mp4,1,male,Fearful,5,1,1,1,True
01-01-06-01-01-02-01.mp4,1,male,Fearful,5,1,1,2,True
